Class Suffix,Contributor,Label,Parent,Definition
DIGITRUBBER_000387,Alexander Aschemann,rotor temperature control unit [dik],device,
CHEBI_49957,,xenon atom,nonmetal atom,
CHEBI_49828,,praseodymium atom,lanthanoid atom,
CHEBI_27007,,tin atom,metal atom,
CHEBI_33322,,rubidium atom,metal atom,
DIGITRUBBER_000570,Alexander Aschemann,melting range [dik],intensive quality,
CHEBI_30512,,silver atom,metal atom,
CHEBI_25555,,nitrogen atom,nonmetal atom,
CHEBI_33324,,strontium atom,metal atom,
DIGITRUBBER_000468,Alexander Aschemann,feeding zone temperature control unit [dik],device,
DIGITRUBBER_000636,Alexander Aschemann,optical quality [dik],intensive quality,
DIGITRUBBER_000393,Alexander Aschemann,stamp temperature control unit [dik],device,
CHEBI_33659,,organic aromatic compound,aromatic compound,
CHEBI_33361,,meitnerium atom,metal atom,
CHEBI_33377,,dysprosium atom,lanthanoid atom,
CHEBI_29287,,gold atom,metal atom,
DIGITRUBBER_000556,Alexander Aschemann,mixing [dik],planned process,
DIGITRUBBER_000436,Alexander Aschemann,haul-off speed [dik],intensive quality,
CHEBI_33344,,niobium atom,metal atom,
UO_1000163,,mass percentage based unit,unit,
CHEBI_49648,,holmium atom,lanthanoid atom,
DIGITRUBBER_000597,Alexander Aschemann,ethylene group [dik],hydrocarbylene group [chebi],
CHEBI_33343,,hafnium atom,metal atom,
DIGITRUBBER_000399,Alexander Aschemann,rotor torque [dik],device specification,
DIGITRUBBER_000328,Alexander Aschemann,zinc dibenzyldithiocarbamate [dik],vulcanisation accelerator [dik],
CHEBI_32594,,barium atom,metal atom,
CHEBI_33349,,dubnium atom,metal atom,
DIGITRUBBER_000343,Alexander Aschemann,fixed roll [dik],device,
CHEBI_30415,,astatine atom,nonmetal atom,
DIGITRUBBER_000383,Alexander Aschemann,mixing chamber [dik],device,
UO_1000076,,mole fraction based unit,unit,
CHEBI_36828,,pseudohalide anion,polyatomic monoanion,
CHEBI_26835,,sulfur molecular entity,chalcogen molecular entity,
CHEBI_33382,,lutetium atom,lanthanoid atom,
PMD_0000603,,device role,role,"Rolle, die ein Geräte inne haben kann."
CHEBI_26216,,potassium atom,metal atom,
CHEBI_49666,,iridium atom,metal atom,
CHEBI_33364,,platinum,metal atom,
CHEBI_33380,,thulium atom,lanthanoid atom,
CHEBI_49882,,rhenium atom,metal atom,
DIGITRUBBER_000392,Alexander Aschemann,drop door temperature [dik],intensive quality,
COB_0000035,,completely executed planned process,planned process,
CHEBI_30514,,caesium atom,metal atom,
CHEBI_50812,,carbon nanostructure,elemental carbon,
DIGITRUBBER_000449,Alexander Aschemann,die geometry [dik],geometry [imr],
NCBITaxon_9606,,homo sapiens,material entity,
CHEBI_30452,,tellurium atom,chalcogen,
DIGITRUBBER_000454,Alexander Aschemann,temperature measuring sword [dik],device,
CHEBI_28659,,phosphorus atom,nonmetal atom,
DIGITRUBBER_000386,Alexander Aschemann,rotor speed [dik],device specification,
CHEBI_33346,,rutherfordium atom,metal atom,
CHEBI_30441,,germanium atom,metalloid atom,
CHEBI_51446,Lars Vogt,organic divalent group [chebi],organic group [chebi],
DIGITRUBBER_000527,Alexander Aschemann,quality of a liquid [dik],quality,
DIGITRUBBER_000469,Alexander Aschemann,feeding zone temperature [dik],intensive quality,
DIGITRUBBER_000497,,physical quality [dik],quality,
DIGITRUBBER_000455,Alexander Aschemann,Pressure Sensor [dik],sensor [chmo],
DIGITRUBBER_000471,Alexander Aschemann,pin zone temperature [dik],intensive quality,
