Class Suffix,Label,Severity,Message
PMD_0000898,pressure measuring function,Violation,Class 'PMD_0000898' ('pressure measuring function') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020159,daughter phase role,Violation,Class 'PMD_0020159' ('daughter phase role') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000796,ion exchange chromatography system,Violation,Class 'PMD_0000796' ('ion exchange chromatography system') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000988,thermomechanical treatment,Violation,Class 'PMD_0000988' ('thermomechanical treatment') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000104,ion-exchange hardening,Violation,Class 'PMD_0000104' ('ion-exchange hardening') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050140,nonlinear optical glass,Violation,Class 'PMD_0050140' ('nonlinear optical glass') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_48901,thiazoles [chebi],Violation,Class 'CHEBI_48901' ('thiazoles [chebi]') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_5686,heterocyclic compound,Violation,Class 'CHEBI_5686' ('heterocyclic compound') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000601,deterministic simulation,Violation,Class 'PMD_0000601' ('deterministic simulation') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000820,load cell,Violation,Class 'PMD_0000820' ('load cell') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020069,portion of mercury,Violation,Class 'PMD_0020069' ('portion of mercury') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
OBI_0000749,CART,Violation,Class 'OBI_0000749' ('CART') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000661,glass,Violation,Class 'PMD_0000661' ('glass') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000768,half-life,Violation,Class 'PMD_0000768' ('half-life') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_30430,indium atom,Violation,Class 'CHEBI_30430' ('indium atom') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020044,portion of tantalum,Violation,Class 'PMD_0020044' ('portion of tantalum') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020096,steel,Violation,Class 'PMD_0020096' ('steel') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_49637,hydrogen atom,Violation,Class 'CHEBI_49637' ('hydrogen atom') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000964,supervised machine learning,Violation,Class 'PMD_0000964' ('supervised machine learning') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PATO_0002198,quality of a substance [pato],Violation,Class 'PATO_0002198' ('quality of a substance [pato]') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000781,heat treatment function,Violation,Class 'PMD_0000781' ('heat treatment function') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
CHEBI_33381,ytterbium,Violation,Class 'CHEBI_33381' ('ytterbium') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0001015,x-ray computed tomography,Violation,Class 'PMD_0001015' ('x-ray computed tomography') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020036,portion of rhenium,Violation,Class 'PMD_0020036' ('portion of rhenium') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0001999,hand held device,Violation,Class 'PMD_0001999' ('hand held device') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020214,diffraction,Violation,Class 'PMD_0020214' ('diffraction') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0050060,titania ceramic,Violation,Class 'PMD_0050060' ('titania ceramic') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000953,structural and chemical decay,Violation,Class 'PMD_0000953' ('structural and chemical decay') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0020054,portion of copper,Violation,Class 'PMD_0020054' ('portion of copper') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
PMD_0000916,rheological property analyzing process,Violation,Class 'PMD_0000916' ('rheological property analyzing process') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
BFO_0000146,fiat surface,Violation,Class 'BFO_0000146' ('fiat surface') is missing BOTH oboInOwl:creation_date and pav:lastUpdateOn.
