Class Suffix,Contributor,Label,Parent,Definition
UO_1000076,,mole fraction based unit,unit,
PMD_0010023,,bioactive,disposition,"A disposition that inheres in a material entity and is realized in an organismal context as a specific interaction with one or more biological systems, producing a measurable biological effect (e.g., therapeutic, toxic, or signaling outcome)."
CHEBI_30501,,beryllium atom,metal atom,Alkaline earth metal atom with atomic number 4.
CHEBI_33382,,lutetium atom,lanthanoid atom,
CHEBI_26216,,potassium atom,metal atom,
CHEBI_49666,,iridium atom,metal atom,
CHEBI_33364,,platinum,metal atom,
CHEBI_33380,,thulium atom,lanthanoid atom,
CHEBI_49882,,rhenium atom,metal atom,
CHEBI_137980,,metalloid atom,atom,"An atom of an element that exhibits properties that are between those of metals and nonmetals, or that has a mixture of them. The term generally includes boron, silicon, germanium, arsenic, antimony, and tellurium, while carbon, aluminium, selenium, polonium, and astatine are less commonly included."
CHEBI_30514,,caesium atom,metal atom,
CHEBI_33839,,macromolecule,molecular entity,"A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
CHEBI_30163,,diboron trioxide,molecular entity,A boron oxide with formula B<small><sub>2</sub></small>O<small><sub>3</sub></small>.
CHEBI_194539,,tennessine atom,nonmetal atom,A halogen atom with a symbol Ts and atomic number 117.
NCBITaxon_9606,,homo sapiens,material entity,
CHEBI_30452,,tellurium atom,chalcogen,
CHEBI_28659,,phosphorus atom,nonmetal atom,
PMD_0000112,,dielectric disposition,disposition,The disposition of an electric insulator to be polarized when subjected to an electric field.
CHEBI_33346,,rutherfordium atom,metal atom,
CHEBI_30441,,germanium atom,metalloid atom,
